"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2023/04/04,Vallée-Jonction,1,To meet constituents,Community activity or event,M0337706,"CCINB, La",40.24,"Lehoux, Richard"
2023/04/05,Saint-Georges,1,To plan Member's priorities and activities,Hosting a meeting,M0340935,Le Rock Café,40.00,"Lehoux, Richard"
2023/04/13,Saint-Georges,2,To plan Member's priorities and activities,Hosting a meeting,M0340695,Restaurant Normandin,62.79,"Lehoux, Richard"
2023/04/20,Saint-Georges,1,To meet constituents,"Gala, reception or ceremony",M0338776,Conseil Économique de beauce,148.00,"Lehoux, Richard"
2023/04/22,Saint-Frédéric,1,To meet constituents,"Gala, reception or ceremony",M0338652,Club Lions Tring-Jontion,100.00,"Lehoux, Richard"
2023/04/29,Sainte-Marie,1,To meet constituents,"Gala, reception or ceremony",M0339298,"CCINB, La",148.00,"Lehoux, Richard"
2023/04/29,Beauceville,1,To meet constituents,"Gala, reception or ceremony",M0340566,Club Rotary Beauceville,296.00,"Lehoux, Richard"
2023/04/30,Vallée-Jonction,2,To meet constituents,"Gala, reception or ceremony",M0339336,FADOQ Vallée-Jonction 30Avril2023,64.00,"Lehoux, Richard"
2023/05/02,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0339660,Food Entertainment,73.50,"Lehoux, Richard"
2023/05/04,Sainte-Marie,1,To meet constituents,Community activity or event,M0340203,tim hortons,54.00,"Lehoux, Richard"
2023/05/05,Saint-Georges,2,To plan Member's priorities and activities,Hosting a meeting,M0340696,Rock Café,40.00,"Lehoux, Richard"
2023/05/05,Saint-Georges,1,To meet constituents,Community activity or event,M0340203,tim horton,54.00,"Lehoux, Richard"
2023/05/06,Saint-Joseph-de-Beauce,1,To meet constituents,"Gala, reception or ceremony",M0340213,Club Richelieu Saint-Joseph-de-Beauce,200.00,"Lehoux, Richard"
2023/05/06,Saint-Georges,1,To meet constituents,"Gala, reception or ceremony",M0340539,Chambre de Commercede St-Georges,296.00,"Lehoux, Richard"
2023/05/06,Vallée-Jonction,2,To meet constituents,"Gala, reception or ceremony",M0340409,Municipalité de Vallée-Jonction,90.00,"Lehoux, Richard"
2023/05/08,Sainte-Marie,1,To meet constituents,Hosting a staff event,M0340622,IGA Ste Marie,50.68,"Lehoux, Richard"
2023/05/18,Ottawa,1,To plan Member's priorities and activities,Hosting a meeting,M0340948,Restaurant Brixton,34.97,"Lehoux, Richard"
2023/05/19,Saint-Georges,0,To meet constituents,"Gala, reception or ceremony",M0341491,La Fondation le Bercail,148.00,"Lehoux, Richard"
2023/05/20,Saint-Elzéar (La Nouvelle-Beauce),1,To meet constituents,"Gala, reception or ceremony",M0341533,Club Fadoq Les Fleurons d'OR,100.00,"Lehoux, Richard"
2023/05/23,Sainte-Marie,4,To celebrate a significant event,Hosting a staff event,M0341572,Restaurant St-Hubert Ste-Marie,78.30,"Lehoux, Richard"
2023/05/25,Sainte-Marie,0,To meet constituents,Community activity or event,M0342147,"CCINB, La",50.00,"Lehoux, Richard"
2023/05/27,Frampton,1,To meet constituents,Community activity or event,M0342150,fabrique de ste-famille de beauce,80.00,"Lehoux, Richard"
2023/05/28,Sainte-Marguerite (La Nouvelle-Beauce),1,To meet constituents,Community activity or event,M0342026,Cercle des Fermieres Saint-Marguerite,50.00,"Lehoux, Richard"
2023/06/01,Saint-Benoît-Labre,0,To meet constituents,Community activity or event,M0343058,entraide parkinson beauce,50.00,"Lehoux, Richard"
2023/06/13,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344048,Bier Markt,56.25,"Lehoux, Richard"
2023/01/19,Amos,3,To discuss constituency issues with stakeholders,Hosting a staff event,M0341896,Restaurant Mikes Amos,-57.26,"Lemire, Sébastien"
2023/04/01,Rouyn-Noranda,0,To meet visitors of Member’s office,Hosting a meeting,M0341794,Pharmaprix,24.98,"Lemire, Sébastien"
2023/04/05,Rouyn-Noranda,9,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0337088,Tim Hortons,45.97,"Lemire, Sébastien"
2023/04/06,Rouyn-Noranda,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0341804,Moulin Noir Steakhouse,141.00,"Lemire, Sébastien"
2023/04/06,Rouyn-Noranda,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0337091,Moulin noir Steakhouse,141.00,"Lemire, Sébastien"
2023/04/07,Rouyn-Noranda,2,To plan Member's priorities and activities,Hosting a meeting,M0341817,Pizz Boire et manger,82.26,"Lemire, Sébastien"
2023/04/07,Rouyn-Noranda,3,To plan Member's priorities and activities,Hosting a meeting,M0337098,Pizzé Boire et manger,82.26,"Lemire, Sébastien"
2023/05/04,Rouyn-Noranda,10,To meet constituents,Hosting a town hall or community event,M0341841,Tim Horton,45.70,"Lemire, Sébastien"
2023/05/22,Ville-Marie (Témiscamingue),20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0341836,Tim Hortons,9.98,"Lemire, Sébastien"
2023/05/22,Rouyn-Noranda,2,To exchange with dignitaries,Hosting a meeting,M0341762,Le Cellier - Restaurant,53.00,"Lemire, Sébastien"
2023/05/23,Rouyn-Noranda,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0342007,Tim Horton - Rouyn-Noranda,9.98,"Lemire, Sébastien"
2023/05/25,Landrienne,0,To celebrate a significant event,"Gala, reception or ceremony",M0341775,Conférence des préfets de l'Abitibi-Témiscamingue,82.63,"Lemire, Sébastien"
2023/06/06,La Sarre,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0344175,Leo Pizza,40.15,"Lemire, Sébastien"
2023/06/08,Ottawa,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344171,3 Brasseurs Sparks,165.65,"Lemire, Sébastien"
2023/06/09,Rouyn-Noranda,3,To plan Member's priorities and activities,Hosting a meeting,M0344173,Pizze Boire et manger,86.26,"Lemire, Sébastien"
2023/05/13,North Woodslee,1,To meet constituents,Community activity or event,M0341242,Gosfield North Sportsmen Association,100.00,"Lewis, Chris"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343688,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Lewis, Chris"
2022/05/31,Ottawa,1,To exchange with dignitaries,"Gala, reception or ceremony",M0343975,National Prayer Breakfast / Eventbrite,134.46,"Lewis, Leslyn"
2023/04/01,Simcoe,0,To meet visitors of Member’s office,Hosting a meeting,M0340386,Sobeys,51.31,"Lewis, Leslyn"
2023/04/01,Simcoe,0,To meet visitors of Member’s office,Hosting a meeting,M0343975,Canadian Tire,67.74,"Lewis, Leslyn"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0340386,Sobeys,21.98,"Lewis, Leslyn"
2023/04/03,Simcoe,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0340386,Kaley's Restaurant,11.55,"Lewis, Leslyn"
2023/05/29,Port Dover,0,To celebrate a significant event,Community activity or event,M0343975,Port Dover Board of Trade,50.00,"Lewis, Leslyn"
2023/05/29,Ottawa,9,To exchange with dignitaries,"Gala, reception or ceremony",M0340386,eventbrite,1078.30,"Lewis, Leslyn"
2023/05/30,Ottawa,9,To exchange with dignitaries,"Gala, reception or ceremony",M0340386,eventbrite,1078.30,"Lewis, Leslyn"
2023/05/31,Ottawa,50,To celebrate a significant event,Hosting a reception or open house,M0343975,Creative Kosher Catering,175.00,"Lewis, Leslyn"
2023/06/03,Simcoe,0,To meet constituents,Community activity or event,M0343975,69th Field Battery Association,75.00,"Lewis, Leslyn"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343975,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Lewis, Leslyn"
2023/04/21,Calgary,6,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0339440,Belmont Diner,152.52,"Liepert, Ron"
2023/05/12,Calgary,3,To meet constituents,Hosting a meeting,M0342802,Humptys,66.49,"Liepert, Ron"
2023/05/30,Calgary,3,To meet constituents,Hosting a meeting,M0344029,Schooner's Neighbourhood Pub,51.50,"Liepert, Ron"
2023/06/06,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344029,Mamma Teresa Ristorante,146.63,"Liepert, Ron"
2023/05/18,Saint-Augustin-de-Desmaures,1,To meet constituents,Community activity or event,M0339406,Club lions Cap-Rouge/St-Augustin Inc,120.00,"Lightbound, Joël"
2023/05/25,Québec,2,To meet constituents,Community activity or event,M0338931,Ecole Secondaire de Rochebelle,50.00,"Lightbound, Joël"
2023/05/07,Stony Plain,100,To meet constituents,Hosting a reception or open house,M0340365,Freson Bros.,566.50,"Lloyd, Dane"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0342876,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Lloyd, Dane"
2023/05/01,Walkerton,0,To exchange with dignitaries,Community activity or event,M0339547,Walkerton and Hanover District Right to Life ,25.00,"Lobb, Ben"
2023/04/06,Saint John,7,To meet constituents,Community activity or event,M0341445,The Chamber (The Saint John Region Chamber of Commerce),360.00,"Long, Wayne"
2023/04/11,Saint John,7,To meet constituents,Community activity or event,M0341445,The Chamber (The Saint John Region Chamber of Commerce),399.60,"Long, Wayne"
2023/04/11,Saint John,4,To meet constituents,Hosting a meeting,M0340903,Vitos,107.02,"Long, Wayne"
2023/06/23,Rothesay,3,To meet constituents,Community activity or event,M0341445,Legion 58,200.00,"Long, Wayne"
2023/04/04,Guelph,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0338447,Earth to Table Bread Bar ,106.62,"Longfield, Lloyd"
2023/04/30,Guelph,0,To meet constituents,"Gala, reception or ceremony",M0338439,Side Door,148.00,"Longfield, Lloyd"
2023/05/25,Guelph,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0341795,Capistrano Bistro,28.70,"Longfield, Lloyd"
2023/06/15,Guelph,0,To celebrate a significant event,Community activity or event,M0343413,Guelph Chamber of Commerce ,110.00,"Longfield, Lloyd"
2023/04/02,Langford,30,To meet constituents,Hosting a town hall or community event,M0336522,Tim Hortons,120.92,"MacGregor, Alistair"
2023/05/16,Ottawa,60,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0342215,House of Commons Food Services — Services de restauration de la Chambre des communes,154.01,"MacGregor, Alistair"
2023/04/04,Gatineau,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0342705,Subway,11.39,"MacKinnon, Steven"
2023/04/06,Gatineau,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0340683,Tim Hortons,39.98,"MacKinnon, Steven"
2023/04/06,Gatineau,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0340683,Costco,301.04,"MacKinnon, Steven"
2023/04/13,Gatineau,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337838,À La Derive,89.31,"MacKinnon, Steven"
2023/04/14,Gatineau,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337833,À La Dérive,98.40,"MacKinnon, Steven"
2023/05/12,Gatineau,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0342705,Pizza salvatore Gatineau,59.76,"MacKinnon, Steven"
2023/05/24,Gatineau,15,To meet constituents,Hosting a meeting,M0341951,Adonis,22.02,"MacKinnon, Steven"
2023/05/24,Gatineau,0,"To discuss business of the House, caucus and committees",Hosting a meeting,M0342705,Moca Loca,13.95,"MacKinnon, Steven"
2023/05/25,Gatineau,0,To meet constituents,Community activity or event,M0342705,Le Palais Libanais,12.45,"MacKinnon, Steven"
2023/05/26,Gatineau,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0342110,Portugalos,104.55,"MacKinnon, Steven"
2023/06/09,Gatineau,100,To meet constituents,Hosting a meeting,M0343703,Costco,23.48,"MacKinnon, Steven"
2023/06/16,Gatineau,10,To plan Member's priorities and activities,Hosting a meeting,M0344860,Joanna Pizza,71.94,"MacKinnon, Steven"
2023/06/17,Gatineau,1000,To meet constituents,Hosting a reception or open house,M0344402,Metro,38.28,"MacKinnon, Steven"
2023/06/17,Gatineau,2000,To meet constituents,Hosting a reception or open house,M0344402,Metro Plus,48.45,"MacKinnon, Steven"
2023/06/17,Gatineau,1000,To meet constituents,Hosting a reception or open house,M0344402,Quickie,7.47,"MacKinnon, Steven"
2023/06/17,Gatineau,1000,To meet constituents,Hosting a reception or open house,M0344860,Metro,42.39,"MacKinnon, Steven"
2023/04/28,Brandon,2,To discuss constituency issues with stakeholders,Community activity or event,M0338031,Brandon Chamber of Commerce,126.00,"Maguire, Larry"
2023/05/24,Winnipeg,30,"To discuss business of the House, caucus and committees",Hosting a town hall or community event,M0345377,Norwood Hotel,96.73,"Maguire, Larry"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0342154,Andrew Rochon - Wilderness Chef Outdoors,176.47,"Maguire, Larry"
2023/04/01,Chicoutimi,0,To meet visitors of Member’s office,Hosting a meeting,M0339730,COSTCO,48.08,"Martel, Richard"
2023/04/01,Chicoutimi,0,To meet visitors of Member’s office,Hosting a meeting,M0339730,Marché Centre-Ville,4.29,"Martel, Richard"
2023/04/01,Chicoutimi,0,To meet visitors of Member’s office,Hosting a meeting,M0343738,Marché Centre-Ville,2.24,"Martel, Richard"
2023/04/03,Chicoutimi,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336185,Chez Georges,41.75,"Martel, Richard"
2023/04/04,Chicoutimi,2,To meet constituents,Hosting a meeting,M0337773,Costco,10.08,"Martel, Richard"
2023/04/04,Chicoutimi,1,To meet constituents,Hosting a meeting,M0337773,Costco,0.89,"Martel, Richard"
2023/04/04,Chicoutimi,1,To meet constituents,Hosting a meeting,M0337801,Bistrot du Fjord,12.45,"Martel, Richard"
2023/04/04,Chicoutimi,5,To meet constituents,Hosting a meeting,M0337773,Québec Resto,13.19,"Martel, Richard"
2023/04/04,Chicoutimi,1,To meet constituents,Hosting a meeting,M0337773,McDonald,10.55,"Martel, Richard"
2023/04/04,Chicoutimi,2,To meet constituents,Hosting a meeting,M0337773,Chez Georges,79.66,"Martel, Richard"
2023/04/06,Chicoutimi,4,To plan Member's priorities and activities,Hosting a meeting,M0337416,La Cage,117.38,"Martel, Richard"
2023/04/06,Chicoutimi,2,To meet constituents,Hosting a meeting,M0337416,Québec resto,28.50,"Martel, Richard"
2023/04/13,Chicoutimi,4,To meet constituents,Hosting a meeting,M0337821,Casa Grecque,40.92,"Martel, Richard"
2023/05/03,Ottawa,2,To celebrate a significant event,Community activity or event,M0340311,Tim Hortons,9.00,"Martel, Richard"
2023/05/04,Chicoutimi,1,To celebrate a significant event,"Gala, reception or ceremony",M0340311,Chambre de commerce et d'industrie Saguenay-Le-Fjord,148.00,"Martel, Richard"
2023/05/04,La Baie (Saguenay),2,To discuss constituency issues with stakeholders,Hosting a meeting,M0340311,Restaurant Lucerne,43.33,"Martel, Richard"
2023/05/05,Chicoutimi,3,To meet constituents,Hosting a meeting,M0340311,Restaurant Bar Le Stade,57.62,"Martel, Richard"
2023/05/06,L'Anse-Saint-Jean,2,To celebrate a significant event,Community activity or event,M0338365,Corporation de gestion de la Rivière Saint-Jean-Saguenay,160.00,"Martel, Richard"
2023/05/19,Chicoutimi-Nord,1,To celebrate a significant event,Community activity or event,M0341465,"Fondation Charles-Gravel, La",200.00,"Martel, Richard"
2023/05/26,Chicoutimi,2,To meet constituents,Hosting a meeting,M0343738,Mikes,95.06,"Martel, Richard"
2023/05/27,Chicoutimi,1,To celebrate a significant event,Community activity or event,M0340192,Fondation de ma vie,296.00,"Martel, Richard"
2023/05/30,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0343086,The Keg - Ottawa Market,116.00,"Martel, Richard"
2023/06/10,Saint-Ambroise,1,To celebrate a significant event,Community activity or event,M0343764,Chevaliers de Colomb - Conseil Saint-Ambroise 6875,70.00,"Martel, Richard"
2023/06/12,Chicoutimi,4,To plan Member's priorities and activities,Hosting a meeting,M0343826,Restaurant Joachim ENR.,40.61,"Martel, Richard"
2023/04/03,Montréal,11,To meet constituents,Hosting a reception or open house,M0336366,Super C,28.83,"Martinez Ferrada, Soraya"
2023/04/03,Montréal,11,To meet constituents,Hosting a reception or open house,M0336422,Le Chic Resto Pop.,231.00,"Martinez Ferrada, Soraya"
2023/04/04,Montréal,12,To meet constituents,Hosting a meeting,M0336487,Marché Andes,82.22,"Martinez Ferrada, Soraya"
2023/04/17,Montreal,2,To meet constituents,Hosting a meeting,M0341333,Wing Phat,75.44,"Martinez Ferrada, Soraya"
2023/04/18,Montreal,5,To plan Member's priorities and activities,Hosting a meeting,M0338700,Pita Bar,120.18,"Martinez Ferrada, Soraya"
2023/04/18,Montreal,6,To plan Member's priorities and activities,Hosting a meeting,M0338700,Super C,19.99,"Martinez Ferrada, Soraya"
2023/04/25,Ottawa,12,To meet visitors of Member’s office,Hosting a reception or open house,M0340250,House of Commons Food Services — Services de restauration de la Chambre des communes,125.40,"Martinez Ferrada, Soraya"
2023/04/29,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0341333,Nespresso,186.20,"Martinez Ferrada, Soraya"
2023/05/07,Montréal,2,To meet constituents,Hosting a meeting,M0341333,Wing Phat,43.35,"Martinez Ferrada, Soraya"
2023/05/11,Montreal,6,To plan Member's priorities and activities,Hosting a meeting,M0340705,Super C,19.99,"Martinez Ferrada, Soraya"
2023/05/19,Montreal,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0341387,Pizza Bros,200.25,"Martinez Ferrada, Soraya"
2023/05/19,Montreal,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0341387,Super C,18.81,"Martinez Ferrada, Soraya"
2023/05/26,Montreal,1,To meet constituents,Community activity or event,M0339054,La Table de quartier Hochelaga-Maisonneuve,110.00,"Martinez Ferrada, Soraya"
2023/05/29,Montreal,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0342757,Restaurant Basha,18.00,"Martinez Ferrada, Soraya"
2023/02/20,Windsor,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0344099,The Lumberjack,52.00,"Masse, Brian"
2023/04/01,Windsor,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0336656,Food Basics,18.42,"Masse, Brian"
2023/04/14,Windsor,5,To plan Member's priorities and activities,Hosting a staff event,M0339504,The Lumberjack,89.35,"Masse, Brian"
2023/04/15,Windsor,3,To celebrate a significant event,"Gala, reception or ceremony",M0338664,Hearts Together for Haiti,340.00,"Masse, Brian"
2023/04/17,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0339504,Food Services,122.00,"Masse, Brian"
2023/04/20,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0339504,The Standard,29.50,"Masse, Brian"
2023/05/04,Windsor,1,To celebrate a significant event,"Gala, reception or ceremony",M0341179,Multicultural Council Windsor Essex,296.00,"Masse, Brian"
2023/06/06,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344101,The Office Resto Pub,37.00,"Masse, Brian"
2023/04/02,London,3,To celebrate a significant event,Community activity or event,M0339760,London Muslim Mosque,260.00,"Mathyssen, Lindsay"
2023/04/04,London,15,To meet constituents,Hosting a town hall or community event,M0339717,Rico's pizza,105.84,"Mathyssen, Lindsay"
2023/04/04,London,15,To meet constituents,Hosting a town hall or community event,M0339717,tim hortons,31.40,"Mathyssen, Lindsay"
2023/05/06,London,1,To meet constituents,"Gala, reception or ceremony",M0341781,St. Joseph's Health Care Foundation,170.00,"Mathyssen, Lindsay"
2023/05/12,London,60,To meet constituents,Hosting a town hall or community event,M0342387,Tim hortons,55.00,"Mathyssen, Lindsay"
2023/05/12,London,30,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0342387,Tim hortons,40.98,"Mathyssen, Lindsay"
2023/05/12,London,30,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0342387,Lynn's Bakery and Deli,412.70,"Mathyssen, Lindsay"
2023/04/01,Cambridge,0,To meet visitors of Member’s office,Hosting a meeting,M0343228,Walmart,17.75,"May, Bryan"
2023/04/18,Ottawa,2,To celebrate a significant event,Community activity or event,M0341059,Lian Public Affairs Ltd.,444.00,"May, Elizabeth"
2023/04/11,Roblin,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0340117,CHICKEN CHEF ROBLIN,209.17,"Mazier, Dan"
2023/04/12,Dauphin (City),8,To discuss constituency issues with stakeholders,Hosting a meeting,M0340117,CORRINAS ON MAIN,171.75,"Mazier, Dan"
2023/04/12,Dauphin (City),100,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0340118,WALMART,36.40,"Mazier, Dan"
2023/04/13,Swan River (Town),5,To plan Member's priorities and activities,Hosting a meeting,M0340117,CHICKEN CHEF SWAN RIVER,134.05,"Mazier, Dan"
2023/04/13,Swan River (Town),7,To discuss constituency issues with stakeholders,Hosting a meeting,M0340117,PIZZA PLACE,103.90,"Mazier, Dan"
2023/04/18,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0340088,Parliamentary Restaurant,146.81,"Mazier, Dan"
2023/05/26,Glenella,25,To meet constituents,Hosting a town hall or community event,M0343002,Farmhouse Cafe,65.50,"Mazier, Dan"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0340749,Shoppers Drug Mart,19.98,"McCauley, Kelly"
2023/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0342725,Costco,72.94,"McCauley, Kelly"
2023/04/03,Edmonton,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336888,Jumbo Dim Sum,61.06,"McCauley, Kelly"
2023/04/18,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0340046,Fairmont Chateau Laurier,21.05,"McCauley, Kelly"
2023/06/01,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0342717,Ottawa Marriott Hotel - Spin Kitchen,63.18,"McCauley, Kelly"
2023/06/01,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0342717,tim hortons - sparks street,13.65,"McCauley, Kelly"
2023/06/11,Edmonton,150,To meet constituents,Community activity or event,M0344107,Petro-Canada,15.96,"McCauley, Kelly"
2023/06/11,Edmonton,150,To meet constituents,Community activity or event,M0344107,Costco,87.96,"McCauley, Kelly"
2023/05/03,Ottawa,12,To celebrate a significant event,Hosting a reception or open house,M0339874,Farm Boy,84.37,"McKay, John"
2023/05/11,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0341504,Parliamentary Restaurant,140.20,"McKay, John"
2023/05/31,Ottawa,25,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344624,House of Commons Food Services — Services de restauration de la Chambre des communes,186.88,"McKay, John"
2023/06/14,Mississauga,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0344496,Naan Kabob,85.93,"McKay, John"
2023/04/05,Coquitlam,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0337049,Cora,61.69,"McKinnon, Ron"
2023/04/12,Coquitlam,100,To meet constituents,Community activity or event,M0337049,Soroptimist International of the TriCities,116.00,"McKinnon, Ron"
2023/04/12,Port Coquitlam,4,To meet constituents,Hosting a meeting,M0338154,Dinakis Mediterranean Grill,78.47,"McKinnon, Ron"
2023/04/29,Coquitlam,100,To discuss constituency issues with stakeholders,"Gala, reception or ceremony",M0337049,Tri-Cites Chamber,296.00,"McKinnon, Ron"
2023/05/03,Ottawa,0,To meet constituents,Hosting a meeting,M0338154,Independent,34.99,"McKinnon, Ron"
2023/05/13,Port Coquitlam,2000,To meet constituents,Hosting a town hall or community event,M0340416,Real Canadian Superstore,58.77,"McKinnon, Ron"
2023/05/24,Port Coquitlam,4,To meet constituents,Hosting a meeting,M0340416,The Bombay,83.29,"McKinnon, Ron"
2023/06/14,Ottawa,7,"To discuss business of the House, caucus and committees",Hosting a meeting,M0343260,Darcy McGees,174.80,"McKinnon, Ron"
2023/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0338276,Amazon,149.81,"McLean, Greg"
2023/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0340510,Circle K,3.82,"McLean, Greg"
2023/05/12,Calgary,20,To meet constituents,Community activity or event,M0340510,Tim Hortons,29.98,"McLean, Greg"
2023/05/31,Ottawa,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0340510,Costco Wholesale,60.98,"McLean, Greg"
2023/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0343250,Costco,59.98,"McLeod, Michael"
2023/04/01,Yellowknife,0,To meet visitors of Member’s office,Hosting a meeting,M0343255,Staples #317 Yellowknife,91.56,"McLeod, Michael"
2023/04/20,Ottawa,9,To discuss constituency issues with stakeholders,Hosting a meeting,M0340799,House of Commons Food Services — Services de restauration de la Chambre des communes,142.50,"McLeod, Michael"
2023/04/18,Ottawa,60,"To discuss business of the House, caucus and committees",Hosting a reception or open house,M0339425,House of Commons Food Services — Services de restauration de la Chambre des communes,182.64,"McPherson, Heather"
2023/05/06,Edmonton,120,To celebrate a significant event,Hosting a town hall or community event,M0340275,Walmart,87.36,"McPherson, Heather"
2023/05/26,Edmonton,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0342182,ACE Coffee Roasters,28.84,"McPherson, Heather"
2023/06/12,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0343938,Parliamentary Restaurant,74.48,"McPherson, Heather"
2023/06/14,Ottawa,3,To plan Member's priorities and activities,Hosting a meeting,M0343938,Pancho Villa,193.34,"McPherson, Heather"
2023/04/01,Dryden,0,To meet visitors of Member’s office,Hosting a meeting,M0337741,Safeway,25.27,"Melillo, Eric"
2023/06/05,Ottawa,300,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0343104,Andrew Rochon,176.47,"Melillo, Eric"
2023/04/05,Brossard,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337300,Maison d'Anita,90.00,"Mendès, Alexandra"
2023/04/05,Brossard,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337300,Mtro Plus Bellmare,22.14,"Mendès, Alexandra"
2023/04/05,Brossard,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337394,IGA,59.80,"Mendès, Alexandra"
2023/04/05,Brossard,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0337394,Les Delices Lafrenaie,50.00,"Mendès, Alexandra"
2023/04/14,Montreal,0,To exchange with dignitaries,"Gala, reception or ceremony",M0342685,9455-3484 Quebec Inc - Atlas Media,148.00,"Mendès, Alexandra"
2023/05/09,Ottawa,100,To exchange with dignitaries,Hosting a reception or open house,M0341077,Creative Kosher Catering,550.00,"Mendicino, Marco"
2023/04/01,Richmond,75,To celebrate a significant event,"Gala, reception or ceremony",M0336113,Fresh Press Coffee Bar,360.00,"Miao, Wilson"
2023/04/01,Sayabec,7,To meet constituents,"Gala, reception or ceremony",M0341025,Société d'Agriculture comité Matapédia,347.90,"Michaud, Kristina"
2023/04/06,Matane,2,To meet constituents,Hosting a meeting,M0341683,Pub La Fabrique,57.63,"Michaud, Kristina"
2023/04/22,Lac-au-Saumon,1,To meet constituents,Community activity or event,M0341035,FÊTE DES GUITARES DU QUÉBEC,121.76,"Michaud, Kristina"
2023/05/01,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0341716,UBER,56.65,"Michaud, Kristina"
2023/05/03,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0341716,UBER,22.01,"Michaud, Kristina"
2023/05/24,Amqui,2,To celebrate a significant event,Hosting a meeting,M0341683,Au Bec Pointu ,54.75,"Michaud, Kristina"
2023/04/26,Ottawa,50,To celebrate a significant event,Community activity or event,M0338964,"Al-Natoor,Sirin",353.98,"Miller, Marc"
