"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/06/02,Rimouski,3,To plan Member's priorities and activities,Hosting a meeting,M0272252,"L'oriental, cuisine du monde",56.94,"Blanchette-Joncas, Maxime"
2021/06/02,Rimouski,3,To plan Member's priorities and activities,Hosting a meeting,M0272252,Thaïzone,59.49,"Blanchette-Joncas, Maxime"
2021/06/03,Rimouski,2,To plan Member's priorities and activities,Hosting a meeting,M0272252,Buffet de Marque ,52.95,"Blanchette-Joncas, Maxime"
2021/04/01,Campbell River,0,To meet visitors of Member’s office,Hosting a meeting,M0271258,Healthy Way,48.58,"Blaney, Rachel"
2021/04/01,Campbell River,0,To meet visitors of Member’s office,Hosting a meeting,M0271258,Stonehouse Teas,40.00,"Blaney, Rachel"
2021/04/21,Campbell River,10,To attend staff events including training,Hosting a meeting,M0268402,Healthy Way,29.28,"Blaney, Rachel"
2021/03/28,Buckland,0,To meet constituents,Meal at a community activity or event,M0268196,Vickie Langlois,95.00,"Blaney, Steven"
2021/04/05,Wolfville,1,To plan Member's priorities and activities,Hosting a staff event,M0270965,Kings Arms Commons Res,38.67,"Blois, Kody"
2021/04/23,Sherbrooke,0,To meet constituents,Meal at a community activity or event,M0267874,"MAISON AUBE-LUMIÈRE, LA",125.00,"Brière, Élisabeth"
2021/05/07,Sherbrooke,0,To meet constituents,Meal at a community activity or event,M0270288,Cuisine collective le blé d'or,125.00,"Brière, Élisabeth"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0272509,Metro,22.28,"Brunelle-Duceppe, Alexis"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0270009,Metro,10.99,"Brunelle-Duceppe, Alexis"
2021/05/08,Alma,1,To celebrate a significant event,Meal at a community activity or event,M0268542,Fondation du Club Rotary d'Alma,209.78,"Brunelle-Duceppe, Alexis"
2021/06/10,Saint-Gédéon,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0270009,Fondation de l'Hôtel-Dieu d'Alma,250.00,"Brunelle-Duceppe, Alexis"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0272915,Loblaws,5.99,"Calkins, Blaine"
2021/04/01,Blackfalds,0,To meet visitors of Member’s office,Hosting a meeting,M0272909,IGA Blackfalds,13.31,"Calkins, Blaine"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0272915,Rexall,21.99,"Calkins, Blaine"
2021/04/01,Blackfalds,0,To meet visitors of Member’s office,Hosting a meeting,M0269743,IGA Blackfalds,22.00,"Calkins, Blaine"
2021/04/08,Blackfalds,3,"To discuss business of the House, caucus and committees",Hosting a staff event,M0269743,Moe's Pizza,27.30,"Calkins, Blaine"
