claim_id,from_date,end_date,transport_cost,accommodation_cost,meals_and_incidentals_cost,reg_points_used,special_points_used,USA_points_used,total_cost,mp_office
200488893,2021/04/01,2021/04/30,0.0000,1172.9500,0.0000,0,0,0,1172.95,"Angus, Charlie"
T0211690,2021/04/11,2021/04/23,476.9000,0.0000,1001.3400,1.0000,0,0,1478.24,"Angus, Charlie"
T0212407,2021/05/01,2021/05/08,476.9000,0.0000,801.0700,1.0000,0,0,1277.97,"Angus, Charlie"
200491808,2021/05/01,2021/05/31,0.0000,1172.9500,0.0000,0,0,0,1172.95,"Angus, Charlie"
T0212763,2021/05/24,2021/06/05,476.9000,0.0000,1001.3400,1.0000,0,0,1478.24,"Angus, Charlie"
T0213222,2021/05/28,2021/06/14,100.7000,0.0000,100.1300,0.0000,0,0,200.83,"Angus, Charlie"
200498339,2021/06/01,2021/06/30,0.0000,1172.9500,0.0000,0,0,0,1172.95,"Angus, Charlie"
T0213227,2021/06/13,2021/06/19,515.8400,0.0000,700.9400,1.0000,0,0,1216.78,"Angus, Charlie"
T0213225,2021/06/14,2021/06/14,68.4000,0.0000,100.1300,0.0000,0,0,168.53,"Angus, Charlie"
200503097,2021/07/01,2021/07/31,0.0000,1172.9500,0.0000,0,0,0,1172.95,"Angus, Charlie"
200488894,2021/04/01,2021/04/30,0.0000,1971.3500,0.0000,0,0,0,1971.35,"Arnold, Mel"
200491809,2021/05/01,2021/05/31,0.0000,1971.3500,0.0000,0,0,0,1971.35,"Arnold, Mel"
T0212942,2021/05/24,2021/05/29,2424.6900,0.0000,240.7100,1.0000,0,0,2665.40,"Arnold, Mel"
T0213119,2021/05/28,2021/06/27,0.0000,198.0400,0.0000,0,0,0,198.04,"Arnold, Mel"
200498340,2021/06/01,2021/06/30,0.0000,1971.3500,0.0000,0,0,0,1971.35,"Arnold, Mel"
200503098,2021/07/01,2021/07/31,0.0000,1971.3500,0.0000,0,0,0,1971.35,"Arnold, Mel"
T0213476,2021/03/09,2021/05/07,0.0000,38.8400,0.0000,0,0,0,38.84,"Arseneault, René"
200488895,2021/04/01,2021/04/30,0.0000,1742.0000,0.0000,0,0,0,1742.00,"Arseneault, René"
200498327,2021/04/01,2021/04/30,0.0000,38.0000,0.0000,0,0,0,38.00,"Arseneault, René"
200491810,2021/05/01,2021/05/31,0.0000,1742.0000,0.0000,0,0,0,1742.00,"Arseneault, René"
200498328,2021/05/01,2021/05/31,0.0000,-177.0000,0.0000,0,0,0,-177.00,"Arseneault, René"
T0212888,2021/05/16,2021/05/20,212.8000,537.0000,207.5000,0,0.0000,0,957.30,"Arseneault, René"
T0213268,2021/05/31,2021/06/04,212.8000,1003.2300,310.4900,0,0.0000,0,1526.52,"Arseneault, René"
200498341,2021/06/01,2021/06/30,0.0000,1565.0000,0.0000,0,0,0,1565.00,"Arseneault, René"
200503099,2021/07/01,2021/07/31,0.0000,1565.0000,0.0000,0,0,0,1565.00,"Arseneault, René"
T0212266,2021/03/09,2021/04/09,0.0000,33.3400,0.0000,0,0,0,33.34,"Bachrach, Taylor"
200488896,2021/04/01,2021/04/30,0.0000,1527.8900,0.0000,0,0,0,1527.89,"Bachrach, Taylor"
T0212820,2021/04/09,2021/05/09,0.0000,34.2100,0.0000,0,0,0,34.21,"Bachrach, Taylor"
T0212264,2021/04/25,2021/05/25,0.0000,59.9500,0.0000,0,0,0,59.95,"Bachrach, Taylor"
200491811,2021/05/01,2021/05/31,0.0000,1527.8900,0.0000,0,0,0,1527.89,"Bachrach, Taylor"
T0212925,2021/05/01,2021/05/31,344.7800,0.0000,53.7900,0.0000,0,0,398.57,"Bachrach, Taylor"
T0212927,2021/05/03,2021/05/03,101.2800,0.0000,0.0000,0.0000,0,0,101.28,"Bachrach, Taylor"
T0212821,2021/05/25,2021/06/25,0.0000,59.9500,0.0000,0,0,0,59.95,"Bachrach, Taylor"
200498342,2021/06/01,2021/06/30,0.0000,1527.8900,0.0000,0,0,0,1527.89,"Bachrach, Taylor"
200503100,2021/07/01,2021/07/31,0.0000,1527.8900,0.0000,0,0,0,1527.89,"Bachrach, Taylor"
200488897,2021/04/01,2021/04/30,0.0000,2362.0000,0.0000,0,0,0,2362.00,"Badawey, Vance"
200491812,2021/05/01,2021/05/31,0.0000,2362.0000,0.0000,0,0,0,2362.00,"Badawey, Vance"
200498343,2021/06/01,2021/06/30,0.0000,2362.0000,0.0000,0,0,0,2362.00,"Badawey, Vance"
T0213279,2021/06/07,2021/06/10,570.0000,0.0000,338.7500,1.0000,0,0,908.75,"Badawey, Vance"
200503101,2021/07/01,2021/07/31,0.0000,2362.0000,0.0000,0,0,0,2362.00,"Badawey, Vance"
200488898,2021/04/01,2021/04/30,0.0000,1354.6200,0.0000,0,0,0,1354.62,"Bagnell, Hon. Larry"
200491813,2021/05/01,2021/05/31,0.0000,1354.6200,0.0000,0,0,0,1354.62,"Bagnell, Hon. Larry"
200498344,2021/06/01,2021/06/30,0.0000,1354.6200,0.0000,0,0,0,1354.62,"Bagnell, Hon. Larry"
T0213355,2021/06/05,2021/06/05,558.6000,0.0000,117.1200,0,1.0000,0,675.72,"Bagnell, Hon. Larry"
200503102,2021/07/01,2021/07/31,0.0000,1354.6200,0.0000,0,0,0,1354.62,"Bagnell, Hon. Larry"
T0213430,2021/06/14,2021/06/14,25.3000,0.0000,0.0000,0.0000,0,0,25.30,"Baker, Yvan"
T0212037,2021/03/06,2021/03/13,701.1900,0.0000,0.0000,1.0000,0,0,701.19,"Baldinelli, Tony"
200488899,2021/04/01,2021/04/30,0.0000,2469.0000,0.0000,0,0,0,2469.00,"Baldinelli, Tony"
T0212685,2021/05/01,2021/05/08,659.8300,0.0000,0.0000,1.0000,0,0,659.83,"Baldinelli, Tony"
200491814,2021/05/01,2021/05/31,0.0000,2469.0000,0.0000,0,0,0,2469.00,"Baldinelli, Tony"
T0213097,2021/05/22,2021/05/22,28.5000,0.0000,0.0000,0,0.0000,0,28.50,"Baldinelli, Tony"
T0213094,2021/05/22,2021/05/29,608.3500,0.0000,0.0000,1.0000,0,0,608.35,"Baldinelli, Tony"
200498345,2021/06/01,2021/06/30,0.0000,2469.0000,0.0000,0,0,0,2469.00,"Baldinelli, Tony"
200503103,2021/07/01,2021/07/31,0.0000,2469.0000,0.0000,0,0,0,2469.00,"Baldinelli, Tony"
