claim_id,traveller_name,traveller_type,purpose_of_travel,date,departure,destination,mp_office
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/03/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/05/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/18,Ottawa,Ottawa,"Aboultaif, Ziad"
200488888,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend meetings with stakeholders about business of the House,2021/04/01,Edmonton,Tees,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend meetings with stakeholders about business of the House,2021/04/01,Tees,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/04/23,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/04/23,Edmonton,Edmonton,"Aboultaif, Ziad"
200491803,"Aboultaif, Ziad",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Aboultaif, Ziad"
200500189,"Aboultaif, Ziad",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Aboultaif, Ziad"
200498334,"Aboultaif, Ziad",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213504,,Designated Traveller,To unite the family with the Member,2021/06/14,Edmonton,Ottawa,"Aboultaif, Ziad"
T0213504,,Designated Traveller,To unite the family with the Member,2021/06/21,Ottawa,Edmonton,"Aboultaif, Ziad"
200503092,"Aboultaif, Ziad",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/01,Baysville,Magnetawan,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/01,Magnetawan,Baysville,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/04,Baysville,Rosseau,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/04,Rosseau,Baysville,"Aitchison, Scott"
T0212466,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/09,Baysville,Ottawa,"Aitchison, Scott"
T0212466,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/14,Ottawa,Baysville,"Aitchison, Scott"
T0212825,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/30,Baysville,Ottawa,"Aitchison, Scott"
T0212825,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/06/05,Ottawa,Baysville,"Aitchison, Scott"
T0213047,"Albas, Dan",Member,Secondary Residence,2021/04/19,Ottawa,Ottawa,"Albas, Dan"
T0213047,"Albas, Dan",Member,Secondary Residence,2021/03/19,Ottawa,Ottawa,"Albas, Dan"
200488889,"Albas, Dan",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Albas, Dan"
T0212658,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2021/04/10,Kelowna,Ottawa,"Albas, Dan"
T0212658,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2021/05/07,Ottawa,Kelowna,"Albas, Dan"
200491804,"Albas, Dan",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Albas, Dan"
200498335,"Albas, Dan",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Albas, Dan"
200503093,"Albas, Dan",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Albas, Dan"
T0212421,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0212926,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0212926,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/05/18,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0213391,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/08,Mississauga,London,"Alghabra, Hon. Omar"
T0213391,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/08,London,Mississauga,"Alghabra, Hon. Omar"
T0213392,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/12,Mississauga,London,"Alghabra, Hon. Omar"
T0213392,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/12,London,Mississauga,"Alghabra, Hon. Omar"
T0213389,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2021/06/13,Mississauga,Ottawa,"Alghabra, Hon. Omar"
T0213389,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2021/06/18,Ottawa,Mississauga,"Alghabra, Hon. Omar"
T0212026,"Alleslev, Leona",Member,Secondary Residence,2021/02/24,Ottawa,Ottawa,"Alleslev, Leona"
T0212702,"Alleslev, Leona",Member,Secondary Residence,2021/03/25,Ottawa,Ottawa,"Alleslev, Leona"
200488890,"Alleslev, Leona",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Alleslev, Leona"
T0212025,"Alleslev, Leona",Member,Secondary Residence,2021/04/12,Ottawa,Ottawa,"Alleslev, Leona"
200491805,"Alleslev, Leona",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Alleslev, Leona"
T0212703,"Alleslev, Leona",Member,Secondary Residence,2021/05/12,Ottawa,Ottawa,"Alleslev, Leona"
200498336,"Alleslev, Leona",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Alleslev, Leona"
200503094,"Alleslev, Leona",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Alleslev, Leona"
200488891,"Allison, Dean",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Allison, Dean"
200491806,"Allison, Dean",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Allison, Dean"
200498337,"Allison, Dean",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Allison, Dean"
200503095,"Allison, Dean",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Allison, Dean"
200488892,"Anandasangaree, Gary",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212161,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/14,Toronto,Ottawa,"Anandasangaree, Gary"
T0212161,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/17,Ottawa,Toronto,"Anandasangaree, Gary"
T0212165,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2021/04/16,Toronto,Ottawa,"Anandasangaree, Gary"
T0212165,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2021/04/18,Ottawa,Toronto,"Anandasangaree, Gary"
T0212163,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/20,Toronto,Ottawa,"Anandasangaree, Gary"
T0212163,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/22,Ottawa,Toronto,"Anandasangaree, Gary"
T0212199,"Anandasangaree, Gary",Member,Secondary Residence,2021/04/21,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212568,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/01,Toronto,Ottawa,"Anandasangaree, Gary"
T0212568,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/06,Ottawa,Toronto,"Anandasangaree, Gary"
200491807,"Anandasangaree, Gary",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212856,"Anandasangaree, Gary",Member,Secondary Residence,2021/05/21,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212851,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/23,Toronto,Ottawa,"Anandasangaree, Gary"
T0212851,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/27,Ottawa,Toronto,"Anandasangaree, Gary"
200498338,"Anandasangaree, Gary",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Anandasangaree, Gary"
200503096,"Anandasangaree, Gary",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/03/06,Ottawa,Ottawa,"Angus, Charlie"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/04/07,Ottawa,Ottawa,"Angus, Charlie"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/02/04,Ottawa,Ottawa,"Angus, Charlie"
200488893,"Angus, Charlie",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Angus, Charlie"
T0211690,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/04/11,Cobalt,Ottawa,"Angus, Charlie"
T0211690,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/04/23,Ottawa,Cobalt,"Angus, Charlie"
T0212407,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/01,Cobalt,Ottawa,"Angus, Charlie"
T0212407,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/08,Ottawa,Cobalt,"Angus, Charlie"
200491808,"Angus, Charlie",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Angus, Charlie"
T0212763,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/24,Cobalt,Ottawa,"Angus, Charlie"
T0212763,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/05,Ottawa,Cobalt,"Angus, Charlie"
T0213222,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/05/28,Timmins,Cochrane,"Angus, Charlie"
T0213222,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Cochrane,Timmins,"Angus, Charlie"
200498339,"Angus, Charlie",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Angus, Charlie"
T0213227,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/13,Cobalt,Ottawa,"Angus, Charlie"
T0213227,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/19,Ottawa,Cobalt,"Angus, Charlie"
T0213225,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Timmins,Iroquois Falls,"Angus, Charlie"
T0213225,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Iroquois Falls,Timmins,"Angus, Charlie"
200503097,"Angus, Charlie",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Angus, Charlie"
200488894,"Arnold, Mel",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Arnold, Mel"
200491809,"Arnold, Mel",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Arnold, Mel"
T0212942,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2021/05/24,Salmon Arm,Ottawa,"Arnold, Mel"
T0212942,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2021/05/29,Ottawa,Salmon Arm,"Arnold, Mel"
T0213119,"Arnold, Mel",Member,Secondary Residence,2021/05/28,Ottawa,Ottawa,"Arnold, Mel"
200498340,"Arnold, Mel",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Arnold, Mel"
200503098,"Arnold, Mel",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Arnold, Mel"
T0213476,"Arseneault, René",Member,Secondary Residence,2021/03/09,Gatineau,Gatineau,"Arseneault, René"
200488895,"Arseneault, René",Member,Secondary Residence,2021/04/01,Gatineau,Gatineau,"Arseneault, René"
200498327,"Arseneault, René",Member,Secondary Residence,2021/04/01,Gatineau,Gatineau,"Arseneault, René"
200491810,"Arseneault, René",Member,Secondary Residence,2021/05/01,Gatineau,Gatineau,"Arseneault, René"
200498328,"Arseneault, René",Member,Secondary Residence,2021/05/01,Gatineau,Gatineau,"Arseneault, René"
T0212888,"Daigle, Michelle",Employee,To conduct constituency office business,2021/05/16,Edmundston,Dalhousie,"Arseneault, René"
T0212888,"Daigle, Michelle",Employee,To conduct constituency office business,2021/05/19,Dalhousie,Edmundston,"Arseneault, René"
T0213268,"Daigle, Michelle",Employee,To conduct constituency office business,2021/05/31,Edmundston,Dalhousie,"Arseneault, René"
T0213268,"Daigle, Michelle",Employee,To conduct constituency office business,2021/06/04,Dalhousie,Edmundston,"Arseneault, René"
200498341,"Arseneault, René",Member,Secondary Residence,2021/06/01,Gatineau,Gatineau,"Arseneault, René"
200503099,"Arseneault, René",Member,Secondary Residence,2021/07/01,Gatineau,Gatineau,"Arseneault, René"
T0212266,"Bachrach, Taylor",Member,Secondary Residence,2021/03/09,Ottawa,Ottawa,"Bachrach, Taylor"
200488896,"Bachrach, Taylor",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Bachrach, Taylor"
T0212820,"Bachrach, Taylor",Member,Secondary Residence,2021/04/09,Ottawa,Ottawa,"Bachrach, Taylor"
T0212264,"Bachrach, Taylor",Member,Secondary Residence,2021/04/25,Ottawa,Ottawa,"Bachrach, Taylor"
200491811,"Bachrach, Taylor",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Bachrach, Taylor"
T0212925,"Bachrach, Taylor",Member,To conduct constituency office business,2021/05/03,Smithers,Kitwanga,"Bachrach, Taylor"
T0212925,"Bachrach, Taylor",Member,To conduct constituency office business,2021/05/03,Kitwanga,Smithers,"Bachrach, Taylor"
T0212925,"Bachrach, Taylor",Member,To attend a constituency or community event,2021/05/30,Smithers,Lejac,"Bachrach, Taylor"
T0212925,"Bachrach, Taylor",Member,To attend a constituency or community event,2021/05/30,Lejac,Smithers,"Bachrach, Taylor"
T0212927,"Jonker, Adelle",Employee,To conduct constituency office business,2021/05/03,Terrace,Kitwanga,"Bachrach, Taylor"
T0212927,"Jonker, Adelle",Employee,To conduct constituency office business,2021/05/03,Kitwanga,Terrace,"Bachrach, Taylor"
T0212821,"Bachrach, Taylor",Member,Secondary Residence,2021/05/25,Ottawa,Ottawa,"Bachrach, Taylor"
200498342,"Bachrach, Taylor",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Bachrach, Taylor"
200503100,"Bachrach, Taylor",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Bachrach, Taylor"
200488897,"Badawey, Vance",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Badawey, Vance"
200491812,"Badawey, Vance",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Badawey, Vance"
200498343,"Badawey, Vance",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Badawey, Vance"
T0213279,"Badawey, Vance",Member,To travel to/from constituency and Ottawa,2021/06/07,Welland,Ottawa,"Badawey, Vance"
T0213279,"Badawey, Vance",Member,To travel to/from constituency and Ottawa,2021/06/10,Ottawa,Welland,"Badawey, Vance"
200503101,"Badawey, Vance",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Badawey, Vance"
200488898,"Bagnell, Hon. Larry",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Bagnell, Hon. Larry"
200491813,"Bagnell, Hon. Larry",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Bagnell, Hon. Larry"
200498344,"Bagnell, Hon. Larry",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Bagnell, Hon. Larry"
T0213355,"Bagnell, Hon. Larry",Member,To attend a constituency or community event,2021/06/05,Whitehorse,Dawson City,"Bagnell, Hon. Larry"
T0213355,"Bagnell, Hon. Larry",Member,To attend a constituency or community event,2021/06/05,Dawson City,Whitehorse,"Bagnell, Hon. Larry"
200503102,"Bagnell, Hon. Larry",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Bagnell, Hon. Larry"
T0213430,"Baker, Yvan",Member,To attend an event as a matter of protocol,2021/06/14,Toronto,Toronto,"Baker, Yvan"
T0213430,"Baker, Yvan",Member,To attend an event as a matter of protocol,2021/06/14,Toronto,Toronto,"Baker, Yvan"
T0212037,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/03/06,Niagara Falls,Ottawa,"Baldinelli, Tony"
T0212037,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/03/13,Ottawa,Niagara Falls,"Baldinelli, Tony"
200488899,"Baldinelli, Tony",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Baldinelli, Tony"
T0212685,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/05/01,Niagara Falls,Ottawa,"Baldinelli, Tony"
T0212685,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/05/08,Ottawa,Niagara Falls,"Baldinelli, Tony"
200491814,"Baldinelli, Tony",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Baldinelli, Tony"
T0213097,"Jeffs, April",Employee,Attending event with Member,2021/05/22,Wainfleet,Fort Erie,"Baldinelli, Tony"
T0213097,"Jeffs, April",Employee,Attending event with Member,2021/05/22,Fort Erie,Wainfleet,"Baldinelli, Tony"
T0213094,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/05/22,Niagara Falls,Ottawa,"Baldinelli, Tony"
T0213094,"Baldinelli, Tony",Member,To travel to/from constituency and Ottawa,2021/05/29,Ottawa,Niagara Falls,"Baldinelli, Tony"
200498345,"Baldinelli, Tony",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Baldinelli, Tony"
200503103,"Baldinelli, Tony",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Baldinelli, Tony"
200488900,"Barlow, John",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Barlow, John"
200491815,"Barlow, John",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Barlow, John"
200498346,"Barlow, John",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Barlow, John"
200503104,"Barlow, John",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Barlow, John"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/07,Brockville,Ottawa,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/16,Ottawa,Brockville,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/07,Ottawa,Brockville,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/08,Brockville,Ottawa,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/08,Ottawa,Brockville,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/12,Brockville,Ottawa,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/12,Ottawa,Brockville,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/14,Brockville,Ottawa,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/14,Ottawa,Brockville,"Barrett, Michael"
T0212021,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/16,Brockville,Ottawa,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/19,Brockville,Ottawa,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/19,Ottawa,Brockville,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/21,Brockville,Ottawa,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/21,Ottawa,Brockville,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/23,Brockville,Ottawa,"Barrett, Michael"
T0212277,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/23,Ottawa,Brockville,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/26,Brockville,Ottawa,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/26,Ottawa,Brockville,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/27,Brockville,Ottawa,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/27,Ottawa,Brockville,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/28,Brockville,Ottawa,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/28,Ottawa,Brockville,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/30,Brockville,Ottawa,"Barrett, Michael"
T0212355,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/04/30,Ottawa,Brockville,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/03,Brockville,Ottawa,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/03,Ottawa,Brockville,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/04,Brockville,Ottawa,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/04,Ottawa,Brockville,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/05,Brockville,Ottawa,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/05,Ottawa,Brockville,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/07,Brockville,Ottawa,"Barrett, Michael"
T0212517,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/07,Ottawa,Brockville,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/10,Brockville,Ottawa,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/10,Ottawa,Brockville,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/11,Brockville,Ottawa,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/11,Ottawa,Brockville,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/12,Brockville,Ottawa,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/12,Ottawa,Brockville,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/14,Brockville,Ottawa,"Barrett, Michael"
T0212673,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/14,Ottawa,Brockville,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/25,Brockville,Ottawa,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/25,Ottawa,Brockville,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/26,Brockville,Ottawa,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/26,Ottawa,Brockville,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/28,Brockville,Ottawa,"Barrett, Michael"
T0212872,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/28,Ottawa,Brockville,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/31,Brockville,Ottawa,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/05/31,Ottawa,Brockville,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/01,Brockville,Ottawa,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/01,Ottawa,Brockville,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/02,Brockville,Ottawa,"Barrett, Michael"
T0213099,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/02,Ottawa,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/04,Brockville,Kemptville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/16,Gananoque,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/14,Brockville,Rideau Lakes,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/04,Kemptville,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,Attending event with Member,2021/06/11,Brockville,Kemptville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,Attending event with Member,2021/06/11,Kemptville,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/14,Rideau Lakes,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/15,Brockville,Kemptville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/15,Kemptville,Brockville,"Barrett, Michael"
T0213470,"Hopkins, Randy",Employee,To conduct constituency office business,2021/06/16,Brockville,Gananoque,"Barrett, Michael"
T0213339,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/09,Brockville,Ottawa,"Barrett, Michael"
T0213339,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/09,Ottawa,Brockville,"Barrett, Michael"
T0213339,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/10,Brockville,Ottawa,"Barrett, Michael"
T0213339,"Barrett, Michael",Member,To travel to/from constituency and Ottawa,2021/06/10,Ottawa,Brockville,"Barrett, Michael"
200488901,"Barsalou-Duval, Xavier",Member,Secondary Residence,2021/04/01,Gatineau,Gatineau,"Barsalou-Duval, Xavier"
T0212123,"Barsalou-Duval, Xavier",Member,To travel to/from constituency and Ottawa,2021/04/12,Varennes,Ottawa,"Barsalou-Duval, Xavier"
T0212123,"Barsalou-Duval, Xavier",Member,To travel to/from constituency and Ottawa,2021/04/15,Ottawa,Varennes,"Barsalou-Duval, Xavier"
200491816,"Barsalou-Duval, Xavier",Member,Secondary Residence,2021/05/01,Gatineau,Gatineau,"Barsalou-Duval, Xavier"
T0212625,"Barsalou-Duval, Xavier",Member,To travel to/from constituency and Ottawa,2021/05/10,Varennes,Ottawa,"Barsalou-Duval, Xavier"
T0212625,"Barsalou-Duval, Xavier",Member,To travel to/from constituency and Ottawa,2021/05/13,Ottawa,Varennes,"Barsalou-Duval, Xavier"
T0213033,"Barsalou-Duval, Xavier",Member,To travel to/from constituency and Ottawa,2021/06/01,Varennes,Ottawa,"Barsalou-Duval, Xavier"
