Member
"Sorbara, Francesco"
"Vandal, Hon. Dan"
"Cormier, Serge"
"Patzer, Jeremy"
"Chatel, Sophie"
"Uppal, Hon. Tim"
"van Koeverden, Adam"
"Wong, Hon. Alice"
"Lantsman, Melissa"
"Williams, Ryan"
"Vandenbeld, Anita"
"Desilets, Luc"
"Stubbs, Shannon"
"Hussen, Hon. Ahmed"
"Block, Kelly"
"Regan, Hon. Geoff"
"Arnold, Mel"
"Vidal, Gary"
"Duguid, Terry"
"Zann, Lenore"
"Soroka, Gerald"
"Lightbound, Joël"
"Angus, Charlie"
"Simms, Scott"
"Ng, Hon. Mary"
"Fragiskatos, Peter"
"Dreeshen, Earl"
"Godin, Joël"
"Amos, William"
"Bennett, Hon. Carolyn"
"Gill, Marilène"
"Chiang, Paul"
"Fergus, Hon. Greg"
"Bergeron, Stéphane"
"Thériault, Luc"
"Brassard, John"
"Kram, Michael"
"Manly, Paul"
"Alleslev, Leona"
"Motz, Glen"
"Barlow, John"
"MacAulay, Hon. Lawrence"
"Dzerowicz, Julie"
"Melillo, Eric"
"Larouche, Andréanne"
"Saini, Raj"
"Lambropoulos, Emmanuella"
"Savard-Tremblay, Simon-Pierre"
"Hoback, Randy"
"Lapointe, Linda"
"Aitchison, Scott"
"Chiu, Kenny"
"Caputo, Frank"
"Khera, Hon. Kamal"
"Diab, Lena Metlege"
"Perron, Yves"
"Miller, Hon. Marc"
"Qualtrough, Hon. Carla"
"Jones, Yvonne"
"Lewis, Chris"
"Lauzon, Stéphane"
"Kurek, Damien"
"Dowdall, Terry"
"Damoff, Pam"
"Rogers, Churence"
"Blaney, Rachel"
"Jowhari, Majiid"
"Jordan, Hon. Bernadette"
"El-Khoury, Fayçal"
"Stewart, Jake"
"DeCourcey, Matt"
"Long, Wayne"
"Van Popta, Tako"
"Muys, Dan"
"Cannings, Richard"
"Fortin, Rhéal Éloi"
"Aldag, John"
"MacKinnon, Hon. Steven"
"Fortier, Hon. Mona"
"Monsef, Hon. Maryam"
"Barsalou-Duval, Xavier"
"Lawrence, Philip"
"Morrice, Mike"
"Collins, Chad"
"Jeneroux, Matt"
"Richards, Blake"
"Fortin, Rhéal"
"McPherson, Heather"
"Bagnell, Hon. Larry"
"Chong, Hon. Michael"
"Lametti, Hon. David"
"Yurdiga, David"
"Doherty, Todd"
"Khalid, Iqra"
"Lake, Hon. Mike"
"Martel, Richard"
"Rempel Garner, Hon. Michelle"
"Lemire, Sébastien"
"Seeback, Kyle"
"Kayabaga, Arielle"
"Hardie, Ken"
"Boulerice, Alexandre"
"Mendicino, Hon. Marco"
