csv_title,download_url,extracted_at,category,mp_id,institution,caucus,name,constituency,year,quarter,claim
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0204157', 'transport_cost': '0.00', 'accommodation_cost': '432.15', 'meals_and_incidentals_cost': '365.56', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-08-17', 'departure': 'Longueuil', 'destination': 'Bonaventure'}, {'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-08-20', 'departure': 'Bonaventure', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0204154', 'transport_cost': '750.56', 'accommodation_cost': '432.15', 'meals_and_incidentals_cost': '215.28', 'reg_points_used': '0.0', 'special_points_used': '1.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a national caucus meeting', 'date': '2020-08-17', 'departure': 'Longueuil', 'destination': 'Bonaventure'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a national caucus meeting', 'date': '2020-08-20', 'departure': 'Bonaventure', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': '200437285', 'transport_cost': '0.00', 'accommodation_cost': '1860.00', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'Secondary Residence', 'date': '2020-09-01', 'departure': 'Gatineau', 'destination': 'Gatineau'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0205277', 'transport_cost': '247.51', 'accommodation_cost': '159.62', 'meals_and_incidentals_cost': '132.41', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-09-14', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-09-15', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0205278', 'transport_cost': '217.15', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '132.41', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-09-14', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-09-15', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': '200442147', 'transport_cost': '0.00', 'accommodation_cost': '1860.00', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'Secondary Residence', 'date': '2020-10-01', 'departure': 'Gatineau', 'destination': 'Gatineau'}]}"
"Members – Detailed Travel Expenditures Report – Tootoo, Hunter – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/d5d8cbf7-26ab-4606-b373-31b8fc05f511/csv,2024-05-21 16:17:17.752674+00:00,travel,d5d8cbf7-26ab-4606-b373-31b8fc05f511,Members,Independent,"Tootoo, Hon. Hunter",Nunavut,2020,2,"{'claim_id': '200436538', 'transport_cost': '0.00', 'accommodation_cost': '7778.30', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Tootoo, Hunter', 'traveller_type': 'Member', 'purpose_of_travel': 'Secondary Residence', 'date': '2020-08-01', 'departure': 'Ottawa', 'destination': 'Ottawa'}]}"
"Members – Detailed Hospitality Expenditures Report – Tochor, Corey – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/hospitality/2021/2/4624f4cb-f5a5-48f3-ac02-c369a6b6b744/csv,2024-05-21 16:17:17.752674+00:00,hospitality,4624f4cb-f5a5-48f3-ac02-c369a6b6b744,Members,Conservative,"Tochor, Corey",Saskatoon—University,2020,2,"{'claim_id': 'M0242545', 'date': '2020-04-01', 'location': 'Saskatoon', 'num_attendees': 0, 'purpose_of_hospitality': 'To meet visitors of Member’s office', 'event_type': 'Hosting a meeting', 'supplier': 'VanHoutte Coffee Services', 'total_cost': '148.70'}"
"Members – Detailed Hospitality Expenditures Report – Tochor, Corey – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/hospitality/2021/2/4624f4cb-f5a5-48f3-ac02-c369a6b6b744/csv,2024-05-21 16:17:17.752674+00:00,hospitality,4624f4cb-f5a5-48f3-ac02-c369a6b6b744,Members,Conservative,"Tochor, Corey",Saskatoon—University,2020,2,"{'claim_id': 'M0245266', 'date': '2020-04-01', 'location': 'Saskatoon', 'num_attendees': 0, 'purpose_of_hospitality': 'To meet visitors of Member’s office', 'event_type': 'Hosting a meeting', 'supplier': 'Costco Wholesale', 'total_cost': '15.52'}"
"Members – Detailed Hospitality Expenditures Report – Tochor, Corey – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/hospitality/2021/2/4624f4cb-f5a5-48f3-ac02-c369a6b6b744/csv,2024-05-21 16:17:17.752674+00:00,hospitality,4624f4cb-f5a5-48f3-ac02-c369a6b6b744,Members,Conservative,"Tochor, Corey",Saskatoon—University,2020,2,"{'claim_id': 'M0245266', 'date': '2020-04-01', 'location': 'Saskatoon', 'num_attendees': 0, 'purpose_of_hospitality': 'To meet visitors of Member’s office', 'event_type': 'Hosting a meeting', 'supplier': 'Van Houtte Coffee  Services', 'total_cost': '66.37'}"
