icao,name,latitude,longitude,city,iata,province
CYHB,Hudson Bay Airport,52.8166999817,-102.3109970093,Hudson Bay,YHB,Saskatchewan
CYHD,Dryden Regional Airport,49.8316993713,-92.7442016602,Dryden,YHD,Ontario
CYHF,Hearst Rene Fontaine Municipal Airport,49.7141990662,-83.6860961914,Hearst,YHF,Ontario
CYHH,Nemiscau Airport,51.6911010742,-76.135597229,Nemiscau,YNS,Quebec
CYHI,Ulukhaktok Holman Airport,70.762802124,-117.8059997559,Ulukhaktok,YHI,Northwest Territories
CYHK,Gjoa Haven Airport,68.635597229,-95.8497009277,Gjoa Haven,YHK,Nunavut
CYHM,John C. Munro Hamilton International Airport,43.1735992432,-79.9349975586,Hamilton,YHM,Ontario
CYHN,Hornepayne Municipal Airport,49.1930999756,-84.7589035034,Hornepayne,YHN,Ontario
CYHO,Hopedale Airport,55.448299408,-60.2285995483,Hopedale,YHO,Newfoundland and Labrador
CYHR,Chevery Airport,50.4688987732,-59.6366996765,Chevery,YHR,Quebec
CYHS,Hanover / Saugeen Municipal Airport,44.1582984924,-81.0627975464,Hanover,,Ontario
CYHT,Haines Junction Airport,60.7891998291,-137.546005249,Haines Junction,YHT,Yukon
CYHY,Hay River / Merlyn Carter Airport,60.8396987915,-115.782997131,Hay River,YHY,Northwest Territories
CYHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,Halifax,YHZ,Nova Scotia
CYIB,Atikokan Municipal Airport,48.7738990784,-91.6386032104,Atikokan,YIB,Ontario
CYID,Digby / Annapolis Regional Airport,44.5458450365,-65.7854247093,Digby,YDG,Nova Scotia
CYIF,St Augustin Airport,51.2117004395,-58.6582984924,St-Augustin,YIF,Quebec
CYIK,Ivujivik Airport,62.417301178,-77.9253005981,Ivujivik,YIK,Quebec
CYIO,Pond Inlet Airport,72.6832962036,-77.9666976929,Pond Inlet,YIO,Nunavut
CYIV,Island Lake Airport,53.8572006226,-94.6536026001,Island Lake,YIV,Manitoba
CYJA,Jasper Airport,52.9967002869,-118.0589981079,Jasper,YJA,Alberta
CYJF,Fort Liard Airport,60.2358016968,-123.46900177,Fort Liard,YJF,Northwest Territories
CYJM,Fort St James Airport,54.3972015381,-124.2630004883,Fort St. James,,British Columbia
CYJP,Fort Providence Airport,61.3194007874,-117.6060028076,Fort Providence,,Northwest Territories
CYJQ,Denny Island Airport,52.1397018433,-128.063995361,Bella Bella,,British Columbia
CYJT,Stephenville Airport,48.5442008972,-58.5499992371,Stephenville,YJT,Newfoundland and Labrador
CYKA,Kamloops Airport,50.7022018433,-120.4440002441,Kamloops,YKA,British Columbia
CYKC,Collins Bay Airport,58.2360992432,-103.6780014038,Collins Bay,YKC,Saskatchewan
CYKD,Aklavik Airport,68.2232971191,-135.0059967041,Aklavik,LAK,Northwest Territories
CYKF,Waterloo Airport,43.4608001709,-80.3786010742,Kitchener,YKF,Ontario
CYKG,Kangiqsujuaq (Wakeham Bay) Airport,61.5886001587,-71.929397583,Kangiqsujuaq,YWB,Quebec
CYKJ,Key Lake Airport,57.2560997009,-105.6179962158,Key Lake,YKJ,Saskatchewan
CYKL,Schefferville Airport,54.8053016663,-66.8052978516,Schefferville,YKL,Quebec
CYKO,Akulivik Airport,60.8185997009,-78.1485977173,Akulivik,AKV,Quebec
CYKQ,Waskaganish Airport,51.4733009338,-78.7583007813,Waskaganish,YKQ,Quebec
CYKX,Kirkland Lake Airport,48.2103004456,-79.9813995361,Kirkland Lake,YKX,Ontario
CYKY,Kindersley Airport,51.5175018311,-109.180999756,Kindersley,YKY,Saskatchewan
CYLA,Aupaluk Airport,59.2966995239,-69.5997009277,Aupaluk,YPJ,Quebec
CYLB,Lac La Biche Airport,54.7703018188,-112.0319976807,Lac La Biche,YLB,Alberta
CYLC,Kimmirut Airport,62.8499984741,-69.8833007812,Kimmirut,YLC,Nunavut
CYLD,Chapleau Airport,47.8199996948,-83.3467025757,Chapleau,YLD,Ontario
CYLH,Lansdowne House Airport,52.1955986023,-87.9341964722,Lansdowne House,YLH,Ontario
CYLI,Lillooet Airport,50.6747016907,-121.893997192,Lillooet,,British Columbia
CYLJ,Meadow Lake Airport,54.1253013611,-108.5230026245,Meadow Lake,YLJ,Saskatchewan
CYLK,Lutselk'e Airport,62.4183006287,-110.6819992065,Lutselk'e,YSG,Northwest Territories
CYLL,Lloydminster Airport,53.3092002869,-110.0729980469,Lloydminster,YLL,Saskatchewan
CYLQ,La Tuque Airport,47.4096984863,-72.7889022827,La Tuque,YLQ,Quebec
CYLR,Leaf Rapids Airport,56.5133018494,-99.9852981567,Leaf Rapids,YLR,Manitoba
CYLS,Barrie-Orillia (Lake Simcoe Regional Airport),44.4852981567,-79.5556030273,Barrie-Orillia,YLK,Ontario
CYLT,Alert Airport,82.5177993774,-62.2806015015,Alert,YLT,Nunavut
CYLU,Kangiqsualujjuaq (Georges River) Airport,58.7113990784,-65.9927978516,Kangiqsualujjuaq,XGR,Quebec
CYLW,Kelowna Airport,49.9561004639,-119.3779983521,Kelowna,YLW,British Columbia
CYMA,Mayo Airport,63.6164016724,-135.8679962158,Mayo,YMA,Yukon
CYME,Matane Airport,48.8568992615,-67.4533004761,Matane,YME,Quebec
CYMG,Manitouwadge Airport,49.0839004517,-85.8606033325,Manitouwadge,YMG,Ontario
CYMH,Mary's Harbour Airport,52.3027992249,-55.8471984863,Mary's Harbour,YMH,Newfoundland and Labrador
CYML,Charlevoix Airport,47.5974998474,-70.2238998413,Charlevoix,YML,Quebec
CYMM,Fort McMurray Airport,56.653301239,-111.222000122,Fort McMurray,YMM,Alberta
CYMO,Moosonee Airport,51.2910995483,-80.6078033447,Moosonee,YMO,Ontario
CYMT,Chapais Airport,49.771900177,-74.5280990601,Chibougamau,YMT,Quebec
CYMU,Umiujaq Airport,56.5360984802,-76.5183029175,Umiujaq,YUD,Quebec
CYMW,Maniwaki Airport,46.2728004456,-75.9906005859,Maniwaki,YMW,Quebec
CYMY,Ear Falls Airport,50.7178001404,-93.3835983276,Ear Falls,,Ontario
CYNA,Natashquan Airport,50.1899986267,-61.7891998291,Natashquan,YNA,Quebec
CYNC,Wemindji Airport,53.0106010437,-78.8311004639,Wemindji,YNC,Quebec
CYNE,Norway House Airport,53.9583015442,-97.8442001343,Norway House,YNE,Manitoba
CYNH,Hudsons Hope Airport,56.0355987549,-121.9759979248,Hudson's Hope,YNH,British Columbia
CYNL,Points North Landing Airport,58.2766990662,-104.0820007324,Points North Landing,YNL,Saskatchewan
CYNM,Matagami Airport,49.7616996765,-77.8028030396,Matagami,YNM,Quebec
